anime_id,person_id,role
32983,1336,Producer
32983,1566,Producer
32983,1564,Producer
31757,575,Producer
31757,576,Producer
31757,577,Producer
31757,231,Assistant Producer
40776,161,Producer
40776,889,Producer
40776,114,Producer
40776,891,Producer
41084,1313,Producer
41084,1316,Producer
41084,1721,Producer
41084,1722,Producer
170,1729,Director
170,1730,"Episode Director, Storyboard"
170,1731,"Episode Director, Storyboard"
170,1732,"Episode Director, Storyboard"
7785,1748,Producer
7785,1457,Producer
7785,1749,Producer
7785,1459,"Director, Episode Director, Script, Storyboard"
52034,1313,Producer
52034,187,Producer
52034,1766,Producer
52034,1767,Producer
30484,159,Producer
30484,1770,Producer
30484,1771,Producer
30484,1772,Producer
32,1782,Producer
32,1638,"Director, Episode Director, Storyboard, Screenplay, Animation Director, Setting, Original Creator, Key Animation, Mechanical Design, Planning"
32,1518,"Director, Episode Director, Storyboard, Setting"
32,1783,Sound Director
12355,159,Producer
12355,1804,Producer
12355,1805,Producer
12355,1806,"Director, Theme Song Lyrics, Original Creator, Screenplay"
59636,1821,Producer
59636,1822,Producer
59636,1823,Producer
59636,1824,Producer
36862,1313,Producer
36862,1314,Producer
36862,1315,Producer
36862,1721,Producer
11741,1211,"Producer, Original Character Design"
11741,575,Producer
11741,927,Producer
11741,1832,Producer
36098,1006,Producer
36098,1849,Producer
36098,1850,Producer
36098,1851,Producer
40748,57,"Producer, Production Coordination"
40748,161,Producer
40748,509,Producer
40748,510,"Producer, Chief Producer"
578,1865,"Director, Screenplay"
578,1866,Sound Director
578,1867,"Theme Song Composition, Theme Song Arrangement, Music"
578,1638,Key Animation
40417,159,Producer
40417,559,Producer
40417,1565,Producer
40417,1869,"Producer, Planning"
205,1887,Producer
205,1888,Producer
205,1889,Producer
205,1890,"Director, Episode Director, Script, Storyboard"
12365,1904,Producer
12365,1905,Director
12365,1906,"Director, Episode Director, Storyboard"
12365,1907,Sound Director
437,86,Producer
437,308,Producer
437,1925,Producer
437,1926,"Director, Character Design, Screenplay"
5300,1005,Producer
5300,1336,Producer
5300,1334,Producer
5300,1680,Assistant Producer
40456,927,Producer
40456,1005,Producer
40456,1006,Producer
40456,1007,Producer
7472,121,Producer
7472,342,Producer
7472,120,Producer
7472,30,Director
801,308,Producer
801,1944,"Producer, Script"
801,1945,Producer
801,1946,"Director, Script, Storyboard, Series Composition"
61930,1823,Producer
61930,1821,Producer
61930,1950,Producer
61930,1824,Producer
25777,159,Producer
25777,160,Producer
25777,161,Producer
25777,162,Producer
53273,953,Producer
53273,1961,Producer
53273,1962,Producer
53273,1617,Producer
59986,873,Producer
59986,1980,Producer
59986,1981,"Producer, Planning"
59986,1982,Producer
55791,1313,Producer
55791,1766,Producer
55791,1983,Producer
55791,1767,Producer
21329,823,Producer
21329,824,Producer
21329,822,Producer
21329,825,Assistant Producer
31933,1614,Producer
31933,2002,Producer
31933,490,Producer
31933,2003,Producer
40664,1316,Producer
40664,2024,Producer
40664,2025,Producer
40664,2026,"Director, Episode Director, Key Animation"
60544,2040,Director
60544,2041,ADR Director
60544,2042,ADR Director
11981,575,Producer
11981,576,Producer
11981,1832,Producer
11981,720,Assistant Producer
35839,536,Producer
35839,2069,Producer
35839,1434,Producer
35839,1314,Producer
32182,608,Producer
32182,653,Producer
32182,2002,Producer
32182,2071,Producer
44070,910,Director
44070,2074,Original Creator
30276,113,Producer
30276,2088,Producer
30276,2089,Producer
30276,2090,Producer
40834,159,Producer
40834,2104,"Producer, Production Manager"
40834,2105,Producer
40834,2106,Producer
35843,121,Producer
35843,29,Director
35843,30,Sound Director
35843,131,"Episode Director, Animation Director"
28735,1160,Producer
28735,1162,Producer
28735,1161,Producer
28735,1163,Producer
38474,1355,Producer
38474,2129,Producer
38474,762,Producer
38474,2130,Producer
61322,2145,Director
61322,782,Sound Director
61322,2146,"Episode Director, Key Animation"
61322,2147,"Episode Director, Animation Director, Key Animation"
4282,575,Producer
4282,927,Producer
4282,2158,Producer
4282,1127,Assistant Producer
12431,2172,"Producer, Planning"
12431,2173,"Director, Episode Director, Storyboard"
12431,123,Sound Director
12431,803,"Episode Director, Storyboard"
58222,2189,Director
58222,2190,Sound Director
58222,2191,Theme Song Performance
58222,2192,Original Creator
47194,871,Producer
47194,2206,Producer
47194,2207,Producer
47194,2130,Producer
10165,159,Producer
10165,2226,Assistant Producer
10165,1258,Assistant Producer
10165,850,"Director, Episode Director, Storyboard, Screenplay"
38450,1058,"Director, Art Director"
38450,2227,Script
38450,1059,Script
38450,2228,Script
392,159,"Producer, ADR Director"
392,2241,Producer
392,2242,Producer
392,2243,Producer
60543,1160,Producer
60543,2258,Producer
60543,231,Producer
60543,2259,Producer
50250,1983,Producer
50250,2273,Producer
50250,2274,Director
50250,2275,Sound Director
37208,1058,"Director, Storyboard, Art Director"
37208,2276,Episode Director
37208,2227,Script
37208,1059,Script
6114,87,Producer
6114,1850,Producer
6114,1663,Assistant Producer
6114,2293,"Director, Episode Director, Storyboard"
44087,29,Director
44087,2296,Episode Director
44087,2297,Script
44087,2298,Theme Song Arrangement
57334,575,Producer
57334,1160,Producer
57334,2258,Producer
57334,231,Producer
37379,2090,Producer
37379,2317,Producer
37379,1383,Producer
37379,2318,Producer
36649,510,Producer
36649,2330,Producer
36649,58,"Producer, Setting, Special Effects, Editing, Director of Photography"
36649,2331,"Director, Episode Director, Storyboard, Assistant Animation Director, Key Animation"
31181,575,Producer
31181,576,Producer
31181,577,Producer
31181,2333,Assistant Producer
56538,2346,Producer
56538,2347,Producer
56538,2348,"Director, Episode Director, Storyboard"
56538,2349,Sound Director
33049,1211,"Producer, Original Character Design"
33049,575,Producer
