anime_id,genre
35760,Theme::Gore Gore
35760,Theme::Military Military
35760,Theme::Survival Survival
35760,Demographic::Shounen Shounen
22135,Award Winning Award Winning
22135,Drama Drama
22135,Sports Sports
22135,Demographic::Seinen Seinen
45576,Adventure Adventure
45576,Drama Drama
45576,Fantasy Fantasy
45576,Ecchi Ecchi
45576,Theme::Isekai Isekai
45576,Theme::Reincarnation Reincarnation
42310,Action Action
42310,Sci-Fi Sci-Fi
42310,Theme::Gore Gore
42310,Theme::Organized Crime Organized Crime
33,Action Action
33,Adventure Adventure
33,Drama Drama
33,Fantasy Fantasy
33,Horror Horror
33,Theme::Gore Gore
33,Theme::Military Military
33,Theme::Psychological Psychological
33,Demographic::Seinen Seinen
1535,Supernatural Supernatural
1535,Suspense Suspense
1535,Demographic::Shounen Shounen
58567,Action Action
58567,Adventure Adventure
58567,Fantasy Fantasy
58567,Theme::Adult Cast Adult Cast
58567,Theme::Urban Fantasy Urban Fantasy
28891,Theme::School School
28891,Theme::Team Sports Team Sports
28891,Demographic::Shounen Shounen
52742,Theme::School School
52742,Theme::Team Sports Team Sports
52742,Demographic::Shounen Shounen
34591,Slice of Life Slice of Life
34591,Supernatural Supernatural
34591,Theme::Iyashikei Iyashikei
34591,Theme::Mythology Mythology
34591,Demographic::Shoujo Shoujo
7311,Award Winning Award Winning
7311,Mystery Mystery
7311,Sci-Fi Sci-Fi
7311,Supernatural Supernatural
38329,Drama Drama
38329,Romance Romance
38329,Supernatural Supernatural
37991,Action Action
37991,Adventure Adventure
37991,Theme::Organized Crime Organized Crime
37991,Theme::Super Power Super Power
37991,Demographic::Shounen Shounen
28957,Adventure Adventure
28957,Mystery Mystery
28957,Slice of Life Slice of Life
28957,Supernatural Supernatural
28957,Theme::Adult Cast Adult Cast
28957,Theme::Historical Historical
28957,Theme::Iyashikei Iyashikei
28957,Demographic::Seinen Seinen
55823,Slice of Life Slice of Life
55823,Supernatural Supernatural
55823,Theme::Iyashikei Iyashikei
55823,Theme::Mythology Mythology
55823,Demographic::Shoujo Shoujo
3786,Award Winning Award Winning
3786,Drama Drama
3786,Sci-Fi Sci-Fi
3786,Suspense Suspense
3786,Theme::Mecha Mecha
3786,Theme::Psychological Psychological
16498,Action Action
16498,Award Winning Award Winning
16498,Drama Drama
16498,Suspense Suspense
16498,Theme::Gore Gore
16498,Theme::Military Military
16498,Theme::Survival Survival
16498,Demographic::Shounen Shounen
52701,Adventure Adventure
52701,Comedy Comedy
52701,Fantasy Fantasy
52701,Gourmet Gourmet
52701,Demographic::Seinen Seinen
19647,Demographic::Shounen Shounen
4565,Theme::Mecha Mecha
4565,Theme::Space Space
4565,Theme::Super Power Super Power
877,Drama Drama
877,Romance Romance
877,Theme::Adult Cast Adult Cast
877,Theme::Love Polygon Love Polygon
877,Theme::Music Music
877,Demographic::Shoujo Shoujo
10379,Slice of Life Slice of Life
10379,Supernatural Supernatural
10379,Theme::Iyashikei Iyashikei
10379,Theme::Mythology Mythology
10379,Demographic::Shoujo Shoujo
54898,Action Action
54898,Mystery Mystery
54898,Theme::Adult Cast Adult Cast
54898,Theme::Detective Detective
54898,Theme::Organized Crime Organized Crime
54898,Theme::Super Power Super Power
54898,Theme::Vampire Vampire
54898,Demographic::Seinen Seinen
49701,Action Action
49701,Adventure Adventure
49701,Fantasy Fantasy
49701,Theme::Historical Historical
49701,Theme::Martial Arts Martial Arts
32983,Slice of Life Slice of Life
32983,Supernatural Supernatural
32983,Theme::Iyashikei Iyashikei
32983,Theme::Mythology Mythology
32983,Demographic::Shoujo Shoujo
31757,Action Action
31757,Mystery Mystery
31757,Supernatural Supernatural
40776,Theme::School School
40776,Theme::Team Sports Team Sports
40776,Demographic::Shounen Shounen
41084,Adventure Adventure
41084,Drama Drama
41084,Fantasy Fantasy
41084,Mystery Mystery
41084,Sci-Fi Sci-Fi
170,Theme::School School
170,Theme::Team Sports Team Sports
170,Demographic::Shounen Shounen
7785,Award Winning Award Winning
7785,Comedy Comedy
7785,Mystery Mystery
7785,Romance Romance
7785,Suspense Suspense
7785,Theme::Adult Cast Adult Cast
7785,Theme::Psychological Psychological
7785,Theme::Time Travel Time Travel
52034,Award Winning Award Winning
52034,Drama Drama
52034,Theme::Reincarnation Reincarnation
52034,Theme::Showbiz Showbiz
52034,Demographic::Seinen Seinen
30484,Drama Drama
30484,Sci-Fi Sci-Fi
30484,Suspense Suspense
32,Avant Garde Avant Garde
32,Drama Drama
32,Sci-Fi Sci-Fi
32,Suspense Suspense
32,Theme::Mecha Mecha
32,Theme::Psychological Psychological
12355,Award Winning Award Winning
12355,Slice of Life Slice of Life
12355,Supernatural Supernatural
59636,Drama Drama
59636,Sports Sports
59636,Theme::Anthropomorphic Anthropomorphic
59636,Theme::Racing Racing
59636,Demographic::Seinen Seinen
36862,Adventure Adventure
36862,Drama Drama
36862,Fantasy Fantasy
36862,Mystery Mystery
36862,Sci-Fi Sci-Fi
11741,Action Action
11741,Fantasy Fantasy
36098,Drama Drama
36098,Romance Romance
40748,Action Action
40748,Award Winning Award Winning
40748,Supernatural Supernatural
40748,Demographic::Shounen Shounen
40417,Drama Drama
40417,Romance Romance
40417,Supernatural Supernatural
40417,Demographic::Shoujo Shoujo
205,Action Action
205,Adventure Adventure
205,Comedy Comedy
205,Theme::Historical Historical
205,Theme::Samurai Samurai
12365,Comedy Comedy
12365,Drama Drama
12365,Romance Romance
12365,Demographic::Shounen Shounen
437,Avant Garde Avant Garde
437,Award Winning Award Winning
437,Drama Drama
437,Horror Horror
437,Suspense Suspense
437,Theme::Adult Cast Adult Cast
437,Theme::Psychological Psychological
437,Theme::Showbiz Showbiz
5300,Slice of Life Slice of Life
5300,Supernatural Supernatural
5300,Theme::Iyashikei Iyashikei
5300,Theme::Mythology Mythology
5300,Demographic::Shoujo Shoujo
40456,Action Action
40456,Supernatural Supernatural
40456,Demographic::Shounen Shounen
7472,Action Action
7472,Comedy Comedy
7472,Sci-Fi Sci-Fi
7472,Theme::Historical Historical
7472,Theme::Parody Parody
7472,Theme::Samurai Samurai
7472,Demographic::Shounen Shounen
801,Mystery Mystery
801,Sci-Fi Sci-Fi
801,Theme::Adult Cast Adult Cast
801,Theme::Detective Detective
801,Theme::Mecha Mecha
801,Theme::Military Military
801,Demographic::Seinen Seinen
61930,Drama Drama
61930,Sports Sports
61930,Theme::Anthropomorphic Anthropomorphic
61930,Theme::Racing Racing
61930,Demographic::Seinen Seinen
25777,Action Action
25777,Drama Drama
25777,Suspense Suspense
25777,Theme::Gore Gore
25777,Theme::Military Military
25777,Theme::Survival Survival
25777,Demographic::Shounen Shounen
53273,Action Action
53273,Adventure Adventure
53273,Demographic::Shounen Shounen
59986,Theme::Adult Cast Adult Cast
59986,Theme::Gag Humor Gag Humor
59986,Demographic::Seinen Seinen
55791,Theme::Reincarnation Reincarnation
55791,Theme::Showbiz Showbiz
55791,Demographic::Seinen Seinen
21329,Adventure Adventure
21329,Mystery Mystery
21329,Slice of Life Slice of Life
21329,Supernatural Supernatural
21329,Theme::Adult Cast Adult Cast
21329,Theme::Historical Historical
21329,Theme::Iyashikei Iyashikei
21329,Demographic::Seinen Seinen
31933,Action Action
31933,Adventure Adventure
31933,Demographic::Shounen Shounen
40664,Theme::Music Music
40664,Theme::Performing Arts Performing Arts
40664,Theme::School School
60544,Action Action
60544,Comedy Comedy
60544,Drama Drama
60544,Fantasy Fantasy
11981,Award Winning Award Winning
11981,Drama Drama
11981,Suspense Suspense
11981,Theme::Mahou Shoujo Mahou Shoujo
11981,Theme::Psychological Psychological
35839,Adventure Adventure
35839,Comedy Comedy
35839,Drama Drama
32182,Action Action
32182,Comedy Comedy
32182,Supernatural Supernatural
44070,Action Action
44070,Adventure Adventure
44070,Drama Drama
44070,Fantasy Fantasy
44070,Theme::Historical Historical
44070,Theme::Mythology Mythology
30276,Action Action
30276,Comedy Comedy
30276,Theme::Adult Cast Adult Cast
30276,Theme::Parody Parody
30276,Theme::Super Power Super Power
30276,Demographic::Seinen Seinen
40834,Adventure Adventure
40834,Fantasy Fantasy
35843,Action Action
35843,Comedy Comedy
35843,Sci-Fi Sci-Fi
35843,Theme::Gag Humor Gag Humor
35843,Theme::Historical Historical
35843,Theme::Parody Parody
35843,Theme::Samurai Samurai
35843,Demographic::Shounen Shounen
28735,Theme::Adult Cast Adult Cast
28735,Theme::Historical Historical
28735,Theme::Love Polygon Love Polygon
28735,Theme::Performing Arts Performing Arts
28735,Demographic::Josei Josei
38474,Theme::CGDCT CGDCT
38474,Theme::Iyashikei Iyashikei
61322,Adventure Adventure
61322,Comedy Comedy
61322,Sci-Fi Sci-Fi
61322,Demographic::Shounen Shounen
4282,Action Action
4282,Drama Drama
4282,Fantasy Fantasy
4282,Mystery Mystery
4282,Romance Romance
4282,Suspense Suspense
12431,Theme::Adult Cast Adult Cast
12431,Theme::Space Space
12431,Theme::Workplace Workplace
12431,Demographic::Seinen Seinen
58222,Boys Love Boys Love
58222,Drama Drama
47194,Mystery Mystery
47194,Supernatural Supernatural
47194,Suspense Suspense
47194,Demographic::Shounen Shounen
10165,Theme::Gag Humor Gag Humor
10165,Theme::School School
10165,Demographic::Shounen Shounen
38450,Action Action
38450,Adventure Adventure
38450,Drama Drama
38450,Fantasy Fantasy
38450,Mystery Mystery
38450,Theme::Historical Historical
38450,Theme::Mythology Mythology
38450,Theme::Reincarnation Reincarnation
392,Action Action
392,Supernatural Supernatural
392,Theme::Martial Arts Martial Arts
392,Theme::Mythology Mythology
392,Demographic::Shounen Shounen
60543,Action Action
60543,Comedy Comedy
60543,Supernatural Supernatural
60543,Demographic::Shounen Shounen
37208,Action Action
37208,Adventure Adventure
37208,Drama Drama
37208,Fantasy Fantasy
37208,Mystery Mystery
37208,Theme::Historical Historical
37208,Theme::Mythology Mythology
37208,Theme::Reincarnation Reincarnation
6114,Drama Drama
6114,Suspense Suspense
6114,Theme::Delinquents Delinquents
6114,Theme::Historical Historical
6114,Demographic::Seinen Seinen
44087,Action Action
44087,Comedy Comedy
44087,Theme::Gag Humor Gag Humor
44087,Theme::Historical Historical
44087,Theme::Parody Parody
44087,Theme::Samurai Samurai
44087,Demographic::Shounen Shounen
57334,Action Action
57334,Comedy Comedy
57334,Supernatural Supernatural
57334,Demographic::Shounen Shounen
37379,Drama Drama
37379,Sports Sports
37379,Theme::Love Polygon Love Polygon
37379,Theme::School School
37379,Theme::Strategy Game Strategy Game
37379,Demographic::Josei Josei
36649,Action Action
36649,Adventure Adventure
36649,Drama Drama
36649,Suspense Suspense
36649,Theme::Delinquents Delinquents
36649,Theme::Organized Crime Organized Crime
36649,Theme::Psychological Psychological
36649,Demographic::Shoujo Shoujo
31181,Comedy Comedy
31181,Mystery Mystery
31181,Supernatural Supernatural
56538,Drama Drama
56538,Romance Romance
56538,Demographic::Shoujo Shoujo
33049,Action Action
33049,Fantasy Fantasy
50265,Action Action
50265,Award Winning Award Winning
50265,Comedy Comedy
50265,Theme::Childcare Childcare
50265,Theme::Super Power Super Power
50265,Demographic::Shounen Shounen
44511,Action Action
44511,Fantasy Fantasy
44511,Theme::Gore Gore
44511,Theme::Urban Fantasy Urban Fantasy
44511,Demographic::Shounen Shounen
11577,Drama Drama
11577,Sci-Fi Sci-Fi
26055,Action Action
26055,Adventure Adventure
26055,Demographic::Shounen Shounen
51039,Action Action
51039,Adventure Adventure
51039,Fantasy Fantasy
51039,Theme::Historical Historical
51039,Theme::Martial Arts Martial Arts
37105,Theme::Adult Cast Adult Cast
37105,Theme::Gag Humor Gag Humor
37105,Demographic::Seinen Seinen
36999,Comedy Comedy
36999,Mystery Mystery
36999,Supernatural Supernatural
40059,Action Action
40059,Adventure Adventure
40059,Theme::Adult Cast Adult Cast
40059,Theme::Historical Historical
40059,Theme::Military Military
40059,Demographic::Seinen Seinen
35737,Action Action
35737,Mystery Mystery
35737,Sci-Fi Sci-Fi
35737,Suspense Suspense
35737,Theme::Detective Detective
35737,Theme::Psychological Psychological
35737,Demographic::Seinen Seinen
30654,Action Action
30654,Comedy Comedy
30654,Demographic::Shounen Shounen
20583,Theme::School School
20583,Theme::Team Sports Team Sports
20583,Demographic::Shounen Shounen
60988,Action Action
60988,Adventure Adventure
60988,Drama Drama
60988,Fantasy Fantasy
60988,Theme::Historical Historical
60988,Theme::Mythology Mythology
54857,Drama Drama
54857,Fantasy Fantasy
54857,Suspense Suspense
54857,Theme::Isekai Isekai
54857,Theme::Psychological Psychological
54857,Theme::Time Travel Time Travel
37779,Mystery Mystery
37779,Suspense Suspense
37779,Theme::Psychological Psychological
37779,Theme::Survival Survival
37779,Demographic::Shounen Shounen
3297,Sci-Fi Sci-Fi
3297,Slice of Life Slice of Life
3297,Demographic::Shounen Shounen
36538,Slice of Life Slice of Life
36538,Supernatural Supernatural
36538,Theme::Iyashikei Iyashikei
36538,Theme::Mythology Mythology
36538,Demographic::Shoujo Shoujo
50330,Action Action
50330,Mystery Mystery
50330,Theme::Adult Cast Adult Cast
50330,Theme::Detective Detective
50330,Theme::Organized Crime Organized Crime
50330,Theme::Super Power Super Power
50330,Demographic::Seinen Seinen
42203,Drama Drama
42203,Fantasy Fantasy
42203,Suspense Suspense
42203,Theme::Isekai Isekai
42203,Theme::Psychological Psychological
42203,Theme::Time Travel Time Travel
467,Award Winning Award Winning
467,Mystery Mystery
467,Sci-Fi Sci-Fi
467,Theme::Adult Cast Adult Cast
467,Theme::Detective Detective
467,Theme::Mecha Mecha
467,Theme::Military Military
467,Demographic::Seinen Seinen
21899,Action Action
21899,Comedy Comedy
21899,Sci-Fi Sci-Fi
21899,Theme::Gag Humor Gag Humor
21899,Theme::Historical Historical
21899,Theme::Parody Parody
21899,Theme::Samurai Samurai
21899,Demographic::Shounen Shounen
40730,Action Action
40730,Adventure Adventure
40730,Drama Drama
40730,Fantasy Fantasy
40730,Theme::Historical Historical
40730,Theme::Mythology Mythology
136,Action Action
136,Adventure Adventure
136,Fantasy Fantasy
136,Demographic::Shounen Shounen
38000,Action Action
38000,Award Winning Award Winning
38000,Supernatural Supernatural
38000,Demographic::Shounen Shounen
38889,Theme::Music Music
38889,Theme::Performing Arts Performing Arts
38889,Theme::School School
38889,Demographic::Shounen Shounen
34612,Theme::Gag Humor Gag Humor
34612,Theme::School School
34612,Theme::Super Power Super Power
34612,Demographic::Shounen Shounen
36885,Comedy Comedy
36885,Romance Romance
36885,Theme::Harem Harem
36885,Theme::Otaku Culture Otaku Culture
36885,Theme::School School
33255,Theme::Gag Humor Gag Humor
33255,Theme::School School
33255,Theme::Super Power Super Power
33255,Demographic::Shounen Shounen
37999,Comedy Comedy
37999,Romance Romance
37999,Demographic::Seinen Seinen
30709,Comedy Comedy
30709,Romance Romance
30709,Supernatural Supernatural
30709,Theme::Mythology Mythology
30709,Theme::Time Travel Time Travel
30709,Demographic::Shoujo Shoujo
38040,Adventure Adventure
38040,Comedy Comedy
38040,Fantasy Fantasy
38040,Theme::Isekai Isekai
38040,Theme::Parody Parody
36275,Slice of Life Slice of Life
36275,Supernatural Supernatural
36275,Theme::Iyashikei Iyashikei
36275,Theme::Mythology Mythology
36275,Demographic::Shoujo Shoujo
48561,Action Action
48561,Supernatural Supernatural
48561,Demographic::Shounen Shounen
5028,Demographic::Shounen Shounen
55888,Adventure Adventure
55888,Drama Drama
55888,Fantasy Fantasy
55888,Ecchi Ecchi
55888,Theme::Isekai Isekai
55888,Theme::Reincarnation Reincarnation
24687,Adventure Adventure
24687,Mystery Mystery
24687,Slice of Life Slice of Life
24687,Supernatural Supernatural
24687,Theme::Adult Cast Adult Cast
24687,Theme::Historical Historical
