character_id,person_id,language
952,154,Japanese
958,351,Japanese
959,960,Japanese
961,962,Japanese
964,965,Japanese
966,967,Japanese
968,969,Japanese
970,971,Japanese
973,971,Japanese
446,447,Japanese
448,17,Japanese
449,450,Japanese
451,452,Japanese
453,454,Japanese
455,456,Japanese
457,85,Japanese
981,982,Japanese
983,984,Japanese
985,943,Japanese
989,79,Japanese
990,471,Japanese
991,992,Japanese
993,56,Japanese
994,110,Japanese
995,56,Japanese
996,548,Japanese
997,432,Japanese
998,642,Japanese
999,724,Japanese
915,56,Japanese
916,434,Japanese
917,642,Japanese
918,919,Japanese
922,276,Japanese
1004,27,Japanese
921,296,Japanese
925,40,Japanese
1010,110,Japanese
1011,1012,Japanese
1013,544,Japanese
1014,270,Japanese
1015,296,Japanese
1016,54,Japanese
1017,184,Japanese
1018,1019,Japanese
1020,77,Japanese
1021,21,Japanese
1023,660,Japanese
1024,1025,Japanese
1026,982,Japanese
1027,1028,Japanese
1029,503,Japanese
1030,179,Japanese
1031,1032,Japanese
1033,523,Japanese
1034,1035,Japanese
1036,1037,Japanese
170,171,Japanese
172,173,Japanese
174,23,Japanese
175,166,Japanese
178,179,Japanese
180,150,Japanese
181,182,Japanese
1046,883,Japanese
1047,1048,Japanese
1049,1028,Japanese
1050,548,Japanese
1051,56,Japanese
1052,1053,Japanese
1054,142,Japanese
1055,382,Japanese
1057,15,Japanese
1063,1064,Japanese
1065,1066,Japanese
1067,1068,Japanese
1071,1072,Japanese
1073,1074,Japanese
1075,816,Japanese
1076,1077,Japanese
1078,1079,Japanese
491,144,Japanese
492,75,Japanese
493,77,Japanese
494,495,Japanese
496,21,Japanese
1082,1083,Japanese
1084,701,Japanese
497,396,Japanese
498,499,Japanese
1085,1086,Japanese
1089,1090,Japanese
1091,1092,Japanese
1094,407,Japanese
1095,1096,Japanese
1097,334,Japanese
1098,1099,Japanese
1100,1101,Japanese
1102,660,Japanese
1103,523,Japanese
1110,1111,Japanese
1112,1113,Japanese
1114,1115,Japanese
1116,1117,Japanese
1118,1119,Japanese
1120,594,Japanese
1121,1072,Japanese
1122,1123,Japanese
1124,186,Japanese
1125,1126,Japanese
1129,290,Japanese
1130,140,Japanese
1131,503,Japanese
1132,98,Japanese
1133,374,Japanese
1134,1135,Japanese
1136,1137,Japanese
1138,184,Japanese
1139,220,Japanese
1146,15,Japanese
1147,523,Japanese
1148,724,Japanese
1149,152,Japanese
1150,726,Japanese
1151,1152,Japanese
1153,1019,Japanese
1154,1155,Japanese
1156,1157,Japanese
1158,1159,Japanese
806,807,Japanese
1167,1168,Japanese
1169,1170,Japanese
1171,808,Japanese
228,808,Japanese
1172,1173,Japanese
1174,1175,Japanese
1176,1177,Japanese
1178,1179,Japanese
1180,1181,Japanese
806,807,Japanese
1169,1170,Japanese
228,808,Japanese
1075,1183,Japanese
1184,77,Japanese
1185,701,Japanese
1186,1187,Japanese
1188,374,Japanese
1189,797,Japanese
1190,144,Japanese
289,290,Japanese
291,292,Japanese
293,294,Japanese
295,296,Japanese
297,298,Japanese
299,179,Japanese
300,301,Japanese
1191,1192,Japanese
304,305,Japanese
306,307,Japanese
1195,1196,Japanese
1197,173,Japanese
1198,1199,Japanese
1200,1201,Japanese
1202,1203,Japanese
1204,1205,Japanese
1206,503,Japanese
1207,184,Japanese
1209,1210,Japanese
1214,550,Japanese
1215,110,Japanese
1216,276,Japanese
1217,54,Japanese
1218,1219,Japanese
1220,27,Japanese
1221,1222,Japanese
1223,1224,Japanese
1225,177,Japanese
1226,1227,Japanese
1233,1234,Japanese
1235,56,Japanese
1236,432,Japanese
1237,622,Japanese
1238,349,Japanese
1239,992,Japanese
1240,386,Japanese
1241,473,Japanese
1242,142,Japanese
1243,1244,Japanese
568,550,Japanese
564,140,Japanese
572,471,Japanese
573,349,Japanese
1261,1262,Japanese
562,563,Japanese
565,566,Japanese
571,69,Japanese
567,505,Japanese
1263,1264,Japanese
895,365,Japanese
896,296,Japanese
897,214,Japanese
1267,877,Japanese
1268,56,Japanese
1269,877,Japanese
899,900,Japanese
901,902,Japanese
903,469,Japanese
904,905,Japanese
1272,1273,Japanese
1274,1275,Japanese
1276,1277,Japanese
1278,550,Japanese
1279,382,Japanese
1280,1281,Japanese
1283,1284,Japanese
1285,1286,Japanese
1287,1288,Japanese
1301,67,Japanese
1302,222,Japanese
1303,50,Japanese
1304,382,Japanese
1305,1210,Japanese
1306,1264,Japanese
1307,550,Japanese
1308,868,Japanese
1309,1310,Japanese
1311,1312,Japanese
1319,140,Japanese
1320,336,Japanese
1321,1322,Japanese
1323,1324,Japanese
1325,15,Japanese
1326,184,Japanese
1327,1328,Japanese
1329,456,Japanese
1330,1331,Japanese
1332,360,Japanese
1340,1341,Japanese
1342,1343,Japanese
1344,1345,Japanese
1346,77,Japanese
1347,374,Japanese
1348,1349,Japanese
1350,38,Japanese
1351,1352,Japanese
1353,182,Japanese
1354,747,Japanese
1360,1361,Japanese
1362,1363,Japanese
1364,1365,Japanese
1366,1367,Japanese
1368,1369,Japanese
1370,546,Japanese
1371,1372,Japanese
1373,1374,Japanese
1375,1376,Japanese
1377,756,Japanese
213,214,Japanese
215,216,Japanese
217,218,Japanese
219,220,Japanese
221,222,Japanese
223,224,Japanese
225,226,Japanese
227,21,Japanese
228,229,Japanese
230,96,Japanese
656,657,Japanese
658,487,Japanese
659,660,Japanese
661,204,Japanese
662,73,Japanese
1382,75,Japanese
663,664,Japanese
666,523,Japanese
667,668,Japanese
669,670,Japanese
1388,276,Japanese
1389,1390,Japanese
1391,146,Japanese
1392,1393,Japanese
1394,1395,Japanese
1396,156,Japanese
1397,1398,Japanese
1399,1400,Japanese
1401,664,Japanese
1402,1199,Japanese
170,171,Japanese
172,173,Japanese
174,23,Japanese
175,166,Japanese
176,177,Japanese
178,179,Japanese
180,150,Japanese
181,182,Japanese
183,184,Japanese
1409,360,Japanese
